time,open,high,low,close,tick_volume
2026-05-26 19:10:00,110642.0,110653.0,110624.0,110652.0,300
2026-05-26 19:15:00,110651.0,110668.0,110629.0,110660.0,300
2026-05-26 19:20:00,110658.0,110700.0,110656.0,110684.0,300
2026-05-26 19:25:00,110685.0,110706.0,110664.0,110677.0,300
2026-05-26 19:30:00,110676.0,110688.0,110652.0,110670.0,300
2026-05-26 19:35:00,110672.0,110715.0,110672.0,110694.0,300
2026-05-26 19:40:00,110693.0,110709.0,110675.0,110690.0,300
2026-05-26 19:45:00,110688.0,110706.0,110680.0,110687.0,300
2026-05-26 19:50:00,110689.0,110709.0,110681.0,110699.0,300
2026-05-26 19:55:00,110701.0,110767.0,110695.0,110756.0,300
2026-05-26 20:00:00,110757.0,110771.0,110741.0,110749.0,300
2026-05-26 20:05:00,110747.0,110774.0,110732.0,110734.0,300
2026-05-26 20:10:00,110736.0,110746.0,110723.0,110736.0,300
2026-05-26 20:15:00,110738.0,110738.0,110685.0,110687.0,300
2026-05-26 20:20:00,110686.0,110726.0,110686.0,110718.0,300
2026-05-26 20:25:00,110716.0,110723.0,110649.0,110649.0,300
2026-05-26 20:30:00,110651.0,110677.0,110641.0,110660.0,300
2026-05-26 20:35:00,110658.0,110659.0,110627.0,110628.0,300
2026-05-26 20:40:00,110627.0,110639.0,110603.0,110613.0,300
2026-05-26 20:45:00,110611.0,110661.0,110597.0,110656.0,300
2026-05-26 20:50:00,110658.0,110678.0,110647.0,110662.0,300
2026-05-26 20:55:00,110663.0,110674.0,110641.0,110650.0,300
2026-05-26 21:00:00,110652.0,110679.0,110636.0,110670.0,300
2026-05-26 21:05:00,110669.0,110694.0,110663.0,110675.0,300
2026-05-26 21:10:00,110677.0,110701.0,110669.0,110669.0,300
2026-05-26 21:15:00,110670.0,110721.0,110661.0,110714.0,300
2026-05-26 21:20:00,110713.0,110722.0,110689.0,110708.0,300
2026-05-26 21:25:00,110710.0,110719.0,110646.0,110657.0,300
2026-05-26 21:30:00,110658.0,110694.0,110653.0,110685.0,300
2026-05-26 21:35:00,110683.0,110686.0,110658.0,110667.0,300
2026-05-26 21:40:00,110666.0,110712.0,110660.0,110695.0,300
2026-05-26 21:45:00,110694.0,110706.0,110658.0,110681.0,300
2026-05-26 21:50:00,110680.0,110695.0,110660.0,110660.0,300
2026-05-26 21:55:00,110662.0,110679.0,110639.0,110661.0,300
2026-05-26 22:00:00,110659.0,110676.0,110646.0,110663.0,300
2026-05-26 22:05:00,110664.0,110681.0,110652.0,110681.0,300
2026-05-26 22:10:00,110682.0,110728.0,110679.0,110728.0,300
2026-05-26 22:15:00,110730.0,110746.0,110717.0,110746.0,300
2026-05-26 22:20:00,110747.0,110759.0,110715.0,110719.0,300
2026-05-26 22:25:00,110717.0,110741.0,110712.0,110732.0,300
2026-05-26 22:30:00,110733.0,110737.0,110701.0,110701.0,300
2026-05-26 22:35:00,110702.0,110702.0,110656.0,110661.0,300
2026-05-26 22:40:00,110663.0,110689.0,110647.0,110689.0,300
2026-05-26 22:45:00,110690.0,110699.0,110672.0,110690.0,300
2026-05-26 22:50:00,110692.0,110693.0,110667.0,110675.0,300
2026-05-26 22:55:00,110676.0,110742.0,110671.0,110741.0,300
2026-05-26 23:00:00,110739.0,110750.0,110727.0,110739.0,300
2026-05-26 23:05:00,110740.0,110757.0,110730.0,110740.0,300
2026-05-26 23:10:00,110742.0,110755.0,110713.0,110720.0,300
2026-05-26 23:15:00,110722.0,110763.0,110722.0,110741.0,300
2026-05-26 23:20:00,110740.0,110745.0,110695.0,110695.0,300
2026-05-26 23:25:00,110697.0,110710.0,110658.0,110665.0,300
2026-05-26 23:30:00,110663.0,110680.0,110629.0,110646.0,300
2026-05-26 23:35:00,110647.0,110662.0,110618.0,110632.0,300
2026-05-26 23:40:00,110630.0,110633.0,110595.0,110605.0,300
2026-05-26 23:45:00,110604.0,110644.0,110591.0,110637.0,300
2026-05-26 23:50:00,110635.0,110663.0,110625.0,110635.0,300
2026-05-26 23:55:00,110633.0,110669.0,110627.0,110669.0,300
2026-05-27 00:00:00,110671.0,110680.0,110647.0,110659.0,300
2026-05-27 00:05:00,110657.0,110667.0,110642.0,110659.0,300
2026-05-27 00:10:00,110660.0,110697.0,110643.0,110690.0,300
2026-05-27 00:15:00,110692.0,110704.0,110654.0,110675.0,300
2026-05-27 00:20:00,110674.0,110684.0,110639.0,110676.0,300
2026-05-27 00:25:00,110677.0,110698.0,110674.0,110683.0,300
2026-05-27 00:30:00,110684.0,110710.0,110681.0,110697.0,300
2026-05-27 00:35:00,110695.0,110709.0,110677.0,110677.0,300
2026-05-27 00:40:00,110678.0,110697.0,110672.0,110689.0,300
2026-05-27 00:45:00,110690.0,110693.0,110639.0,110650.0,300
2026-05-27 00:50:00,110648.0,110649.0,110623.0,110626.0,300
2026-05-27 00:55:00,110628.0,110646.0,110603.0,110641.0,300
2026-05-27 01:00:00,110640.0,110648.0,110617.0,110637.0,300
2026-05-27 01:05:00,110639.0,110665.0,110616.0,110665.0,300
2026-05-27 01:10:00,110667.0,110680.0,110642.0,110655.0,300
2026-05-27 01:15:00,110654.0,110654.0,110612.0,110618.0,300
2026-05-27 01:20:00,110616.0,110636.0,110607.0,110629.0,300
2026-05-27 01:25:00,110631.0,110657.0,110624.0,110636.0,300
2026-05-27 01:30:00,110634.0,110660.0,110630.0,110651.0,300
2026-05-27 01:35:00,110652.0,110676.0,110640.0,110676.0,300
2026-05-27 01:40:00,110675.0,110696.0,110638.0,110638.0,300
2026-05-27 01:45:00,110637.0,110678.0,110633.0,110669.0,300
2026-05-27 01:50:00,110668.0,110680.0,110647.0,110654.0,300
2026-05-27 01:55:00,110655.0,110665.0,110641.0,110658.0,300
2026-05-27 02:00:00,110660.0,110695.0,110659.0,110673.0,300
2026-05-27 02:05:00,110671.0,110679.0,110622.0,110624.0,300
2026-05-27 02:10:00,110625.0,110657.0,110603.0,110657.0,300
2026-05-27 02:15:00,110659.0,110689.0,110659.0,110671.0,300
2026-05-27 02:20:00,110669.0,110695.0,110664.0,110681.0,300
2026-05-27 02:25:00,110682.0,110690.0,110615.0,110617.0,300
2026-05-27 02:30:00,110619.0,110629.0,110600.0,110620.0,300
2026-05-27 02:35:00,110622.0,110667.0,110614.0,110628.0,300
2026-05-27 02:40:00,110627.0,110676.0,110620.0,110655.0,300
2026-05-27 02:45:00,110653.0,110663.0,110603.0,110603.0,300
2026-05-27 02:50:00,110602.0,110615.0,110565.0,110565.0,300
2026-05-27 02:55:00,110563.0,110572.0,110539.0,110539.0,300
2026-05-27 03:00:00,110540.0,110580.0,110519.0,110553.0,300
2026-05-27 03:05:00,110551.0,110599.0,110545.0,110599.0,300
2026-05-27 03:10:00,110597.0,110606.0,110562.0,110586.0,300
2026-05-27 03:15:00,110585.0,110601.0,110577.0,110598.0,300
2026-05-27 03:20:00,110597.0,110654.0,110595.0,110642.0,300
2026-05-27 03:25:00,110643.0,110645.0,110602.0,110607.0,300
2026-05-27 03:30:00,110605.0,110675.0,110586.0,110666.0,300
2026-05-27 03:35:00,110667.0,110683.0,110646.0,110661.0,300
2026-05-27 03:40:00,110660.0,110692.0,110658.0,110690.0,300
2026-05-27 03:45:00,110691.0,110730.0,110681.0,110707.0,300
2026-05-27 03:50:00,110709.0,110718.0,110683.0,110718.0,300
2026-05-27 03:55:00,110716.0,110716.0,110654.0,110682.0,300
2026-05-27 04:00:00,110684.0,110684.0,110654.0,110670.0,300
2026-05-27 04:05:00,110671.0,110709.0,110671.0,110695.0,300
2026-05-27 04:10:00,110696.0,110704.0,110639.0,110654.0,300
2026-05-27 04:15:00,110655.0,110677.0,110651.0,110661.0,300
2026-05-27 04:20:00,110662.0,110701.0,110661.0,110690.0,300
2026-05-27 04:25:00,110691.0,110695.0,110666.0,110677.0,300
2026-05-27 04:30:00,110678.0,110739.0,110675.0,110714.0,300
2026-05-27 04:35:00,110712.0,110717.0,110687.0,110693.0,300
2026-05-27 04:40:00,110691.0,110712.0,110683.0,110691.0,300
2026-05-27 04:45:00,110690.0,110716.0,110673.0,110688.0,300
2026-05-27 04:50:00,110686.0,110692.0,110621.0,110629.0,300
2026-05-27 04:55:00,110627.0,110631.0,110596.0,110630.0,300
2026-05-27 05:00:00,110628.0,110652.0,110613.0,110637.0,300
2026-05-27 05:05:00,110636.0,110645.0,110609.0,110617.0,300
2026-05-27 05:10:00,110619.0,110634.0,110585.0,110594.0,300
2026-05-27 05:15:00,110592.0,110626.0,110580.0,110621.0,300
2026-05-27 05:20:00,110620.0,110657.0,110616.0,110656.0,300
2026-05-27 05:25:00,110657.0,110666.0,110609.0,110620.0,300
2026-05-27 05:30:00,110618.0,110657.0,110616.0,110632.0,300
2026-05-27 05:35:00,110631.0,110640.0,110584.0,110589.0,300
2026-05-27 05:40:00,110588.0,110594.0,110541.0,110546.0,300
2026-05-27 05:45:00,110545.0,110573.0,110540.0,110569.0,300
2026-05-27 05:50:00,110567.0,110585.0,110559.0,110563.0,300
2026-05-27 05:55:00,110565.0,110609.0,110558.0,110583.0,300
2026-05-27 06:00:00,110585.0,110608.0,110565.0,110598.0,300
2026-05-27 06:05:00,110596.0,110598.0,110551.0,110555.0,300
2026-05-27 06:10:00,110554.0,110596.0,110547.0,110585.0,300
2026-05-27 06:15:00,110587.0,110592.0,110552.0,110565.0,300
2026-05-27 06:20:00,110566.0,110578.0,110532.0,110532.0,300
2026-05-27 06:25:00,110533.0,110590.0,110527.0,110584.0,300
2026-05-27 06:30:00,110583.0,110621.0,110565.0,110596.0,300
2026-05-27 06:35:00,110597.0,110629.0,110595.0,110613.0,300
2026-05-27 06:40:00,110615.0,110615.0,110576.0,110584.0,300
